City,Accident_Count
Miami,186917
Houston,169609
Los Angeles,156491
Charlotte,138652
Dallas,130939
Orlando,109733
Austin,97359
Raleigh,86079
Nashville,72930
Baton Rouge,71588
Atlanta,68186
Sacramento,66264
San Diego,55504
Phoenix,53974
Minneapolis,51488
Richmond,48845
Oklahoma City,46092
Jacksonville,42447
Tucson,39304
Columbia,38178
San Antonio,37961
Greenville,37802
Saint Paul,37383
Seattle,36564
Portland,35399
San Jose,34536
Indianapolis,33219
Chicago,32035
Tampa,31193
Denver,30557
Kansas City,30107
Tulsa,28880
Riverside,27410
New Orleans,27354
Bronx,27297
Rochester,26866
Fort Lauderdale,26205
Detroit,24865
Grand Rapids,24764
Oakland,24674
Dayton,24572
Brooklyn,22311
Columbus,22216
San Bernardino,21990
New York,21699
Omaha,21573
Bakersfield,21390
Corona,21363
Anaheim,21293
Long Beach,21146
Hialeah,20844
Flint,20658
Washington,20505
Salt Lake City,20463
Philadelphia,20433
Lancaster,20167
Fort Worth,19766
Ontario,19642
Fort Myers,18633
San Francisco,17775
Springfield,17347
Fresno,17200
Saint Louis,17048
Birmingham,16947
Chattanooga,16671
Louisville,16644
Whittier,16617
Memphis,16570
Lexington,16430
Sarasota,16247
El Paso,16052
Spartanburg,15752
Bradenton,15680
Arlington,15494
Shreveport,15481
Kissimmee,15411
Cincinnati,14474
Newark,14226
Pittsburgh,13926
Saint Petersburg,13794
Pensacola,13269
Milwaukee,13037
Lafayette,12990
Hayward,12790
York,12734
Augusta,12410
Norfolk,12314
Anderson,12238
Madison,12089
Antioch,11900
Cleveland,11878
Stockton,11754
Montgomery,11071
Glendale,10913
Pasadena,10746
Baldwin Park,10555
Irvine,10422
Albany,10401
Tracy,10374
Hollywood,10338
Henrico,10293
Buffalo,10279
West Palm Beach,10169
Fremont,10051
Pomona,10044
Clearwater,9921
Fairfield,9906
Myrtle Beach,9706
Tempe,9531
Gardena,9479
Ocala,9456
Florence,9412
Fontana,9388
Santa Ana,9314
Norwalk,9260
Santa Rosa,9255
Alexandria,9223
Baltimore,9128
Sherman Oaks,9108
Orange,9050
Fairfax,9010
Greer,8850
Summerville,8735
Elgin,8699
Modesto,8555
Livermore,8521
Decatur,8435
Huntsville,8420
Charleston,8380
North Miami,8228
Tacoma,8210
Frederick,8070
Wilmington,8004
Woodbridge,7931
Silver Spring,7926
Homestead,7882
Downey,7868
Colorado Springs,7820
Providence,7758
Diamond Bar,7695
Colton,7651
Garner,7633
Fredericksburg,7601
Rowland Heights,7586
Virginia Beach,7575
Inglewood,7451
Salem,7385
Salinas,7356
Ogden,7318
Tallahassee,7314
Chesapeake,7256
Jackson,7219
La Puente,7212
Reno,7113
Concord,7082
Albuquerque,7074
Aurora,6965
Cerritos,6943
Compton,6940
San Leandro,6898
Mobile,6895
Sylmar,6886
Scottsdale,6882
Los Gatos,6878
Redlands,6857
Flushing,6846
Tuscaloosa,6779
Pompano Beach,6757
Norristown,6753
Mesquite,6695
San Mateo,6660
Knoxville,6647
Escondido,6572
Hartford,6537
Conway,6516
Hacienda Heights,6381
Westminster,6360
Chester,6350
Berkeley,6255
Auburn,6204
West Covina,6203
Simpsonville,6134
Bellevue,6121
Moreno Valley,6106
Mesa,6091
Fort Mill,6027
Irving,6004
Piedmont,5969
North Hollywood,5962
Chandler,5957
Hawthorne,5948
Redwood City,5872
Pendleton,5867
Boca Raton,5837
Brentwood,5818
Staten Island,5806
Hyattsville,5725
Opa Locka,5722
Castro Valley,5703
Milton,5686
Syracuse,5657
Carson,5650
Perris,5632
Garden Grove,5565
West Columbia,5489
Elmhurst,5484
Rancho Cucamonga,5468
Tustin,5465
Torrance,5465
Roseville,5434
Costa Mesa,5414
Newhall,5393
Middletown,5391
Marietta,5303
Burbank,5264
Vallejo,5241
Harrisburg,5199
Mira Loma,5186
Fort Lee,5181
Riverview,5154
Pleasanton,5141
North Charleston,5105
Bethesda,5090
Madera,5072
Greensboro,5047
Fallbrook,5046
Winter Park,5041
Chino,5023
Bloomington,5023
Ashland,5018
Petaluma,5011
Orangeburg,4980
Hampton,4953
Napa,4950
Centreville,4924
Boston,4890
Durham,4879
Manassas,4840
West Valley City,4798
Jamaica,4798
Glendora,4784
Santa Fe Springs,4742
Visalia,4737
Pacoima,4716
North Miami Beach,4691
Santa Barbara,4683
Walnut Creek,4665
Palm Harbor,4652
Palmdale,4614
Newport News,4602
Ventura,4582
Temecula,4578
Culver City,4575
Yonkers,4571
Lynwood,4569
Akron,4566
Englewood,4552
Azusa,4549
Farmington,4545
Gainesville,4540
Stafford,4496
Asheville,4487
Clinton,4473
Van Nuys,4471
Little Rock,4413
Bend,4387
Lorton,4364
Des Moines,4351
Hesperia,4346
Sterling,4325
Lehigh Acres,4300
Trenton,4257
Grand Prairie,4256
Emeryville,4249
Pittsburg,4246
El Monte,4232
Melbourne,4221
Jersey City,4214
Eugene,4192
Manor,4180
Morrisville,4169
New Port Richey,4157
Greenwood,4156
Cary,4145
Sun Valley,4124
Grand Blanc,4113
Elk Grove,4107
Gaffney,4106
Mountain View,4105
Tyler,4080
Taylors,4041
Falls Church,4035
Lake City,3992
Marysville,3977
Boiling Springs,3973
Buena Park,3971
Bonita Springs,3942
Pottstown,3939
San Marcos,3923
Pflugerville,3917
Conshohocken,3914
Santa Cruz,3900
Martinez,3900
Lake Worth,3898
Encino,3883
Renton,3875
Covington,3873
Easley,3854
San Dimas,3848
Sunnyvale,3845
Medford,3841
Huntersville,3838
Duncan,3796
Carlsbad,3795
Dublin,3781
Union,3777
Lodi,3774
San Rafael,3769
Murrieta,3767
Glen Allen,3750
Largo,3746
Vacaville,3745
Alhambra,3738
Fullerton,3732
Union City,3731
Vista,3725
National City,3710
Naples,3704
West Chester,3703
Mc Lean,3699
Winchester,3695
Independence,3683
Midlothian,3669
North Fort Myers,3668
Aiken,3665
Everett,3658
Sumter,3615
Watsonville,3606
Palo Alto,3598
Canton,3595
Spokane,3558
Fair Oaks,3555
Mission Viejo,3552
Hallandale,3551
Brandon,3540
Apex,3532
Milford,3517
San Pablo,3504
Boynton Beach,3502
Danville,3482
New Castle,3481
Paramount,3471
Charlottesville,3468
Rock Hill,3465
Duluth,3462
Knightdale,3439
Oceanside,3438
Lebanon,3434
North Highlands,3431
Bridgeport,3430
Irmo,3424
Lake Elsinore,3386
Leesburg,3382
Troy,3371
Gilroy,3352
Lakewood,3338
Halethorpe,3333
Brooksville,3323
Lombard,3316
Sunol,3312
Covina,3308
Santa Monica,3297
Arcadia,3253
Seneca,3250
Lakeland,3248
Santa Maria,3245
Brewster,3242
Acton,3241
Downers Grove,3239
Sanford,3238
Hopkins,3237
Spring Hill,3231
Monticello,3230
Lake Forest,3229
Bell Gardens,3213
Plant City,3212
Seal Beach,3212
Saint Augustine,3212
Carrollton,3206
Wesley Chapel,3198
Johnson City,3191
Lebec,3189
Hudson,3188
Brea,3181
Meridian,3179
Windsor,3160
Laurel,3148
Southfield,3135
Walterboro,3135
West Sacramento,3127
Milpitas,3126
Highland Park,3126
Draper,3125
Lutz,3122
Petersburg,3112
Monrovia,3094
Claremont,3068
Winston Salem,3052
Hanover,3048
Castaic,3048
Fort Washington,3047
Davenport,3037
Huntington,3034
King of Prussia,3033
Carmichael,3028
Miami Gardens,3026
Rye,3026
Oroville,3026
Mission Hills,3022
East Hartford,3012
Williamsburg,3010
Dixon,3009
Ladson,3003
Woodland Hills,2989
Klamath Falls,2986
Linden,2984
Del Valle,2983
Allentown,2983
Camden,2983
Merced,2981
New Haven,2978
Sparks,2977
Morgan Hill,2969
Placerville,2953
Venice,2943
Oxnard,2943
Dorchester,2942
Peoria,2941
Upland,2930
Woodside,2922
Gurnee,2913
Saint Cloud,2912
Clifton,2912
Burton,2912
Lansdale,2908
Norcross,2907
Lake Zurich,2898
Hollister,2895
Suffolk,2890
Roanoke,2885
Waterbury,2885
Vancouver,2881
Bedford,2881
Delray Beach,2879
Bellflower,2878
Toledo,2875
Palmetto,2872
Manteca,2868
Davis,2867
Garland,2867
Reading,2860
Burnsville,2857
Sandy,2854
Chesterfield,2852
Grass Valley,2833
Livingston,2827
Winter Garden,2823
White Plains,2803
Plymouth,2794
Marion,2777
Georgetown,2777
Littleton,2771
Alamo,2759
Richardson,2757
Overland Park,2756
Camarillo,2751
San Clemente,2747
San Juan Capistrano,2738
Macon,2737
Irvington,2730
South El Monte,2725
Schenectady,2724
Wake Forest,2724
Hermitage,2717
San Lorenzo,2713
Hagerstown,2706
Quincy,2703
La Grande,2696
Walnut,2695
Johnstown,2694
Manchester,2688
Dover,2681
Meriden,2680
Rosedale,2674
Rancho Cordova,2669
Wichita Falls,2663
Park City,2663
Kent,2654
Waukegan,2652
Liberty,2652
Sonoma,2651
Inman,2649
Rockville,2648
Apopka,2642
Holly Springs,2639
Oak Brook,2634
Valencia,2631
Libertyville,2629
Greenwich,2628
Lansing,2628
Selma,2622
Jurupa Valley,2618
Woodland,2616
Spring,2609
Davison,2605
Bellmawr,2602
Boise,2602
Savannah,2598
Ashburn,2593
Plano,2593
Newport,2581
Plymouth Meeting,2578
Webster,2576
Shawnee,2572
Lincoln,2567
Warren,2566
Novato,2562
Phelan,2555
Bozeman,2548
Clearfield,2543
Ambler,2540
Lenexa,2539
Edison,2524
Montclair,2523
Fountain Valley,2514
Orange Park,2510
Westport,2508
Denton,2505
South Gate,2486
Cocoa,2480
Wheaton,2452
Burlington,2445
Humble,2444
Monroe,2440
Santa Clara,2430
Encinitas,2430
North Hills,2418
Hillside,2405
Forest Park,2400
Granada Hills,2395
Tulare,2394
Barrington,2393
Clio,2387
Rosemead,2383
Kearny,2381
Lynnwood,2381
Vienna,2381
Cupertino,2381
Oakland Gardens,2368
Avondale,2364
Lehi,2359
Turlock,2357
Darien,2356
Golden,2353
Grants Pass,2351
Victorville,2336
Willow Grove,2336
Annapolis,2333
Pinellas Park,2323
Smyrna,2313
Chula Vista,2311
South San Francisco,2310
Elizabeth,2306
La Grange,2304
Mount Vernon,2292
Hammond,2291
Annandale,2290
Huntingdon Valley,2290
Franklin,2288
Redmond,2280
Panama City,2260
Latham,2260
North Chesterfield,2255
Astoria,2235
Chantilly,2235
Heber City,2234
Daly City,2234
Estero,2225
Saint Charles,2222
Monterey Park,2216
Edmond,2202
Deerfield Beach,2200
Altoona,2199
Lathrop,2198
Calabasas,2194
Brighton,2194
Lewisville,2193
Pikesville,2182
Palm Beach Gardens,2181
Maspeth,2177
North Wales,2168
Santa Clarita,2167
Stockbridge,2161
Portsmouth,2160
Moncks Corner,2159
Grayslake,2158
Hattiesburg,2157
Northport,2148
Zebulon,2143
Canyon Country,2138
Bala Cynwyd,2135
Beaufort,2121
Osseo,2107
Montebello,2095
Cutler Bay,2091
East Orange,2088
Gary,2087
West Chicago,2085
Seaside,2081
Williamsport,2081
North Augusta,2080
Madison Heights,2076
Redding,2065
Miami Beach,2063
Forest Lake,2059
Land O Lakes,2053
Carmel,2053
Yukon,2047
Collegeville,2040
Maple Grove,2028
Clermont,2028
Roseburg,2027
Lugoff,2026
Bethlehem,2026
Clifton Park,2025
Stamford,2023
Buckeye,2022
Upper Marlboro,2022
Olympia,2022
Warrenton,2018
Jefferson,2016
Dillon,2015
Cherry Hill,2011
New Rochelle,2009
Ann Arbor,2008
Fenton,2008
Woodbury,2008
Belmont,2005
Eden Prairie,2001
Willowbrook,1997
Altamonte Springs,1995
Fayetteville,1993
Port Allen,1992
Chico,1992
Goleta,1989
Utica,1989
Orinda,1985
Pueblo,1978
Midvale,1972
Dumfries,1970
Aptos,1970
Huntington Park,1966
Chapin,1966
Murrells Inlet,1964
Las Vegas,1964
Nanuet,1963
Hanford,1956
Elmsford,1955
Royal Oak,1952
Hanover Park,1943
Gaston,1941
Villa Park,1940
Belton,1939
Miamisburg,1932
Ephrata,1929
Darlington,1927
Andover,1926
Menlo Park,1924
Mundelein,1922
Glen Burnie,1915
Carlisle,1907
San Bruno,1905
Federal Way,1904
Cowpens,1900
Pleasant Hill,1899
Bothell,1898
Gaithersburg,1897
Lutherville Timonium,1895
Carol Stream,1892
Des Plaines,1890
Malibu,1886
Castle Rock,1881
Newberry,1875
Galt,1872
The Dalles,1869
Lisle,1868
Olathe,1866
Warrenville,1864
Duarte,1856
Blythewood,1852
Wayne,1848
Ridgeland,1845
Goodyear,1844
Clarkston,1839
Glen Ellyn,1838
Gilbert,1834
Rialto,1834
Rogers,1833
Zachary,1831
Ooltewah,1831
Princeton,1825
Goodlettsville,1824
Sausalito,1819
Mount Laurel,1817
Antelope,1817
Nyack,1817
Clanton,1815
Doral,1815
Longwood,1805
Abington,1803
Manheim,1800
Flagstaff,1799
Truckee,1796
Staunton,1786
Surprise,1784
St Louis,1782
Woodridge,1778
Bartlett,1777
Fort Pierce,1775
Addison,1775
Broomfield,1773
Royersford,1773
Atwater,1771
Fort Walton Beach,1769
St Petersburg,1766
Bloomfield,1764
Downingtown,1762
Dothan,1761
El Dorado Hills,1758
Warwick,1758
Seffner,1756
Oxford,1756
Sonora,1753
Daytona Beach,1753
Athens,1753
Travelers Rest,1750
Ridgeville,1750
Easton,1749
Elk River,1749
Saint Clair Shores,1747
Sandston,1743
Menifee,1743
Lithonia,1742
Blacksburg,1739
Porterville,1737
Mount Morris,1737
Simi Valley,1733
Lawndale,1733
South Jordan,1732
Valley Village,1729
San Luis Obispo,1727
Niles,1725
Forest Hills,1722
Malvern,1719
Provo,1715
Little River,1709
Cambridge,1707
Hopewell Junction,1706
Wildwood,1705
Fillmore,1704
Blue River,1691
Riverdale,1691
Somerset,1690
Seminole,1689
Novi,1688
La Canada Flintridge,1687
Stratford,1686
Bowman,1685
Lowell,1684
Tooele,1679
Mill Valley,1674
Kennesaw,1669
Cottage Grove,1667
Merritt Island,1664
Tucker,1663
Los Banos,1661
Elkins Park,1660
Round Rock,1658
Laguna Hills,1653
Baker City,1652
Pelzer,1651
Byron,1648
Mankato,1644
Romulus,1641
Yemassee,1637
Newburgh,1637
North Little Rock,1632
Sanger,1632
West Jordan,1631
Elkton,1628
Los Alamitos,1625
Glenside,1624
Merrick,1624
Oxon Hill,1623
Ripon,1619
Saint George,1615
Harrisonburg,1612
Metairie,1612
Delano,1609
Commerce,1608
Maricopa,1604
West Hartford,1603
Jenkintown,1596
Citrus Heights,1596
Hartsville,1591
Laurens,1591
Paramus,1585
Kingwood,1582
Willits,1582
La Jolla,1579
Hendersonville,1577
Oakdale,1576
Mechanicsville,1574
Tarpon Springs,1572
Catonsville,1569
Abingdon,1569
Clover,1569
Tarzana,1568
Inver Grove Heights,1566
West Harrison,1562
Lees Summit,1562
McDonough,1552
Harleysville,1549
Ruther Glen,1547
Paterson,1547
Ceres,1547
Layton,1543
Goose Creek,1540
Aberdeen,1534
Puyallup,1531
Pinole,1526
Linthicum Heights,1526
San Gabriel,1524
San Juan Bautista,1523
Weston,1520
Jamestown,1519
South Amboy,1518
Katonah,1517
Parsippany,1515
Hardeeville,1510
Spring Valley,1507
Paso Robles,1507
Wichita,1507
Patterson,1507
Chatsworth,1505
Agoura Hills,1504
Eureka,1502
Prattville,1501
Highland,1501
Coatesville,1500
Shakopee,1500
Beaverton,1499
Gibsonton,1498
Tehachapi,1497
Lanham,1496
Los Altos,1493
Orem,1491
Wolf Creek,1490
Jasper,1485
Larkspur,1483
Hixson,1481
Burlingame,1481
Spanish Fork,1478
Deland,1478
Norco,1477
Beltsville,1474
Ormond Beach,1469
Alpharetta,1467
Pelham,1467
Roslyn Heights,1466
Colfax,1466
Carson City,1464
Hastings,1461
Suitland,1460
Nevada City,1459
Clayton,1455
Little Neck,1454
Daphne,1453
Punta Gorda,1453
Colonial Heights,1452
Exton,1448
Bristol,1447
Dearborn,1445
Whitehall,1445
Lakeville,1443
Hinsdale,1441
Marshall,1440
Watervliet,1437
Live Oak,1435
Dade City,1432
Shingle Springs,1429
Swartz Creek,1429
Benicia,1427
Nottingham,1422
Bay Shore,1421
Temple Hills,1420
Elizabethtown,1418
Cedar City,1418
Blue Bell,1414
Roebuck,1413
Wasco,1413
Delaware,1412
Chiloquin,1411
Altadena,1410
Lititz,1410
Germantown,1409
Montrose,1408
City Of Industry,1407
Newbury Park,1407
Lynchburg,1407
Huntington Station,1406
Tualatin,1405
Henderson,1404
Fresh Meadows,1404
Loris,1399
Williams,1399
Ukiah,1398
Studio City,1396
West Nyack,1394
Fountain Inn,1393
Sebastopol,1391
Woodstock,1390
Statesville,1388
Joppa,1388
Yuba City,1387
Nipomo,1385
Matthews,1383
Lost Hills,1380
Duncanville,1376
Buford,1374
Bensalem,1374
Clarksville,1372
Orangevale,1371
Tarrytown,1369
Portage,1368
Kirkland,1367
Wyoming,1361
Monterey,1360
North Salt Lake,1358
Swansea,1357
Billings,1357
Bellingham,1355
Pawtucket,1351
Elkridge,1351
Greenbelt,1348
Towson,1348
Salisbury,1347
Cranston,1346
Whitestone,1344
Lake Mary,1343
San Ramon,1343
Kingston,1340
Ellicott City,1340
Little Falls,1338
Cottondale,1337
Port Saint Lucie,1337
Grand Terrace,1336
Salida,1334
Clovis,1332
Carpinteria,1331
Payson,1331
Chesnee,1329
Madras,1326
North Bergen,1323
Richfield,1317
Cloverdale,1317
Teaneck,1316
Rocklin,1314
Horsham,1313
Mooresville,1312
Lawrenceville,1311
Crescent City,1310
Chevy Chase,1309
Cranford,1309
Holiday,1307
Greenfield,1306
Livonia,1304
Bordentown,1304
Ocoee,1303
Tolleson,1301
Roy,1301
East Brunswick,1295
Isleton,1295
Winnsboro,1294
King Of Prussia,1292
Port Richey,1289
Ballston Spa,1287
Moore,1286
Lompoc,1285
Gwynn Oak,1285
Taylor,1284
Castroville,1278
Pickens,1273
Saint Matthews,1272
Cedar Rapids,1272
Phoenixville,1272
Valley Stream,1266
Westlake Village,1265
French Camp,1265
Plainville,1264
Council Bluffs,1262
Longs,1261
American Canyon,1260
Curtis Bay,1255
Kingsburg,1254
Bridgeton,1254
La Crescenta,1254
Hatboro,1254
Gustine,1253
Waldorf,1252
Wadsworth,1251
Belleville,1249
Sun City,1249
Oregon City,1248
Wethersfield,1248
Hatfield,1245
Calistoga,1244
Cortlandt Manor,1243
Forsyth,1239
Penfield,1239
Wendell,1237
Kaysville,1237
Huntington Beach,1234
Central Point,1234
Long Island City,1233
Yorktown Heights,1232
Hillsboro,1232
Secaucus,1231
Faribault,1224
Ruskin,1224
Plainfield,1224
Half Moon Bay,1218
Westbury,1217
Bellefonte,1217
Cullman,1214
Hamilton,1213
Timmonsville,1211
Bishopville,1211
Ellenton,1211
Williamston,1209
Arroyo Grande,1209
Berlin,1208
Harrison,1208
Brandywine,1207
Red Bluff,1207
Olivehurst,1207
Hazel Park,1206
Missoula,1205
Acampo,1205
Bluffton,1202
Millersville,1198
Santa Paula,1196
North Port,1196
Hephzibah,1195
March Air Reserve Base,1195
Round Lake,1194
Latta,1193
Avon,1192
Ft Mitchell,1190
Dunn,1189
Newnan,1186
Del Mar,1186
Blackwood,1186
San Pedro,1184
Baker,1183
Saratoga Springs,1183
Parkville,1182
Sunny Isles Beach,1179
Parker,1179
Balch Springs,1178
Gray Court,1176
Grove City,1174
Bowie,1171
Mojave,1171
Rosamond,1170
Cottonwood,1169
Newton,1169
Oviedo,1167
Roselle,1167
Melville,1166
North Chicago,1166
Rome,1166
Miami Lakes,1162
Magna,1161
Bayside,1160
Wantagh,1160
Wellford,1155
Wappingers Falls,1154
Bel Air,1150
Rockwall,1149
Maitland,1148
Rockledge,1147
Arden,1144
South Ozone Park,1144
Jupiter,1143
Waltham,1136
Weehawken,1133
East Elmhurst,1132
Jordan Valley,1132
El Sobrante,1129
Commerce City,1127
Summerfield,1127
Erie,1124
College Park,1121
Camp Pendleton,1119
New Albany,1119
Conroe,1118
Hurst,1117
Austell,1117
Cordova,1116
Defuniak Springs,1114
Woodburn,1114
State College,1113
King George,1113
Toms River,1112
Old Westbury,1112
Gretna,1110
Hazelwood,1110
Joliet,1110
Porter Ranch,1109
Manning,1109
Palm City,1109
Naperville,1109
Ridgefield,1107
Greensburg,1106
Quinton,1106
Capitol Heights,1104
Centerville,1102
Pineville,1102
Murfreesboro,1101
Crestview,1100
Kalispell,1099
Coalville,1099
Fishkill,1099
Chowchilla,1098
Rio Linda,1097
Mechanicsburg,1092
Danbury,1092
Jericho,1089
Clackamas,1089
Iselin,1086
Verona,1085
Bolingbrook,1084
Johnston,1082
Clarksburg,1080
Lemoore,1079
Moorpark,1078
Folsom,1077
Lake Charles,1076
Fowler,1075
Westerville,1073
Valyermo,1073
Joelton,1071
Lithia Springs,1070
Billerica,1066
Yulee,1065
Corning,1063
Benton,1061
Saluda,1057
Holbrook,1056
Navarre,1056
Campbell,1055
Buffalo Grove,1054
Buchanan,1053
Apple Valley,1050
Laguna Niguel,1049
Jessup,1049
Windsor Mill,1047
Hercules,1047
Artesia,1047
La Pine,1046
Hurricane,1045
Cromwell,1045
Running Springs,1043
Waynesville,1043
Anoka,1041
Nephi,1039
Alta,1036
Albert Lea,1035
Fletcher,1032
Scott,1030
Woodruff,1030
Lake Villa,1028
San Carlos,1027
Erlanger,1026
Fort Collins,1025
Bronxville,1025
Northfield,1022
Morristown,1021
San Fernando,1020
Groveland,1019
Sebring,1018
Whites Creek,1017
Waterloo,1016
Frisco,1014
Leeds,1013
Woodford,1010
Fountain,1008
Maupin,1008
Morgantown,1007
Coalinga,1006
Gulf Breeze,1003
West Hempstead,1003
Fairview,1002
Sedona,1001
Berwyn,1000
Zephyrhills,1000
Bennettsville,1000
Coos Bay,998
Hobe Sound,996
Thousand Oaks,995
Polk City,994
Roosevelt,994
Suffern,991
Rensselaer,989
La Verne,988
Scranton,986
San Martin,985
Randolph,985
Coral Gables,985
American Fork,983
Great Neck,982
Ardmore,981
Soda Springs,979
Grapevine,978
Tonawanda,976
Perry,975
Yorba Linda,974
Triangle,974
Herndon,971
Brookfield,970
Cantonment,970
Wytheville,970
Pioneer,970
Bessemer,967
Holland,967
Chelmsford,967
Leesville,967
Mount Pleasant,966
Gloucester City,962
Valley Springs,959
Delhi,958
West Linn,957
Kalamazoo,956
Okeechobee,956
Pittsford,955
Urbandale,955
Barstow,951
Richburg,951
Glenwood Springs,950
Morgan,949
Loveland,949
Clark,949
Tinley Park,949
Ypsilanti,947
Oak Park,945
Springville,945
Stevensville,945
Eagle Point,944
Bonsall,944
Ridgeway,943
Brookville,942
Hamburg,942
Mayer,942
Scotts Valley,941
Katy,940
Cardiff By the Sea,940
Dania,939
Healdsburg,939
Massapequa,939
Allen Park,938
Farmingdale,937
Deerfield,936
Ojai,934
Millbrae,934
Graniteville,934
Black Canyon City,934
Smithfield,933
El Cajon,932
Aventura,929
Earlimart,929
Mansfield,927
Vernon Hills,925
Crawfordville,924
Chino Hills,922
Mountlake Terrace,921
Middleburg,920
Queens Village,920
Beacon,918
Nampa,917
Coarsegold,915
Hauppauge,915
Oneonta,914
Arvada,911
Saginaw,910
Odessa,909
West des Moines,909
Arnold,908
Titusville,908
Marianna,907
Zion,906
Newcastle,906
Rocky Hill,905
Vail,905
Littlerock,905
Exeter,905
Wynnewood,905
East Saint Louis,904
Myersville,903
Pawleys Island,902
Cartersville,901
Chelsea,899
Braintree,899
Iowa City,898
Thornton,898
Royal Oaks,896
Mount Airy,896
Rodeo,895
Strasburg,895
East Rutherford,893
Griffin,893
Manhasset,893
Eastover,892
Batavia,892
Hermiston,892
Waynesboro,891
Lake Station,891
Freeport,890
Powhatan,888
Port Chester,885
Green Bay,885
Kingman,884
Wyncote,883
Marana,883
Waterford,882
Youngsville,881
Bossier City,881
Waukesha,880
Wheat Ridge,879
Purcellville,878
Alachua,877
Owatonna,875
New Cumberland,875
Fair Play,872
Arvin,871
Woburn,870
Quantico,869
Liverpool,868
Gettysburg,868
Ladera Ranch,865
Bryn Mawr,863
Papillion,863
Beech Island,862
Rio Vista,861
Gansevoort,860
Bloomsburg,860
Sunbury,859
Tillamook,858
Bishop,858
King City,857
Mendota,857
Winfield,857
Crockett,857
East Providence,856
Methuen,855
Chambersburg,855
Harbor City,851
Branford,850
Jemison,848
Granite Bay,847
Buda,847
Pekin,847
Garden City,846
Sheridan,845
Trumbull,844
Santee,844
Perryville,842
Scarsdale,842
Peabody,841
Wilton,840
Palm Bay,839
Southington,839
Somis,839
Snohomish,837
Myrtle Creek,837
Saratoga,836
Cascade Locks,835
Mamaroneck,835
Corbett,835
Susanville,834
Hood River,834
Effingham,833
Mc Farland,833
Bridgewater,831
Rocky Mount,830
Schaumburg,828
Soledad,828
Ridgewood,828
West Babylon,827
Bellaire,827
Soquel,827
North Powder,826
Christiansburg,822
Wilsonville,821
Gold Hill,821
South Lake Tahoe,819
Harleyville,818
North Bend,818
Reedley,818
Fords,817
Firebaugh,816
Boulder,815
Richmond Hill,815
Micanopy,814
Northbrook,812
Tonopah,811
Wells,811
Pleasant Grove,810
Stuart,810
Carnegie,808
Palm Coast,805
Vero Beach,805
Lewistown,805
Conyers,804
Wauconda,802
Stone Mountain,801
Wildomar,801
West Haven,800
Commack,800
Mariposa,799
Great Falls,799
Central,798
Blue Springs,797
Boulder Creek,795
South Saint Paul,794
Leawood,794
East Peoria,791
Bellmore,791
New Brunswick,790
South Miami,789
Suwanee,789
Corvallis,789
La Vergne,789
Caledonia,787
Rockford,787
Circle Pines,787
Fairport,785
Oakhurst,784
Saint Helena,783
Okatie,783
Riverton,782
Phillipsburg,782
Fairfax Station,780
Lanexa,780
Evansville,780
Lagrangeville,777
Dorchester Center,775
Gastonia,774
Brigham City,774
Government Camp,774
Pembroke Pines,773
Crestline,773
Palmetto Bay,772
Wallingford,769
South Pasadena,768
Pleasantville,767
Templeton,767
Benson,766
Morrow,766
Issaquah,765
Winston-Salem,765
Palatine,765
Windermere,764
Lamont,764
East Syracuse,764
Sauk Centre,764
Vernon,764
Martinsburg,763
Hightstown,763
Catskill,763
Telford,763
Helena,763
Winton,763
Longmont,763
Lemoyne,763
Lakehead,760
Bellerose,758
Lewisburg,757
Sloatsburg,757
Kerman,756
Escalon,756
Kernersville,756
Montgomeryville,755
Ronkonkoma,754
Dunedin,754
Cape Coral,753
Sumner,753
Locust Grove,751
North Salem,750
Doswell,749
Lakeview,749
Apollo Beach,748
Fairmont,748
